problem_statement,required_skills,project,tenure,skills,discipline
,,Data visualization tool for fitness activity,Third Year,"SQL, Data Analysis, D3.js",
,,Cloud service to facilitate educational content,First Year,"Cloud Computing, Serverless Architecture, Azure",
,,Web application for community services management,Fourth Year,"MongoDB, React, JavaScript",
,,AI system to predict financial transactions,First Year,"Machine Learning, Data Science, Python",
,,Blockchain platform for environmental data,Fourth Year,"DApp Development, Smart Contracts, Ethereum",
,,Web application for social media trends management,Second Year,"JavaScript, MongoDB, React",
,,Web application for health monitoring management,Third Year,"MongoDB, Node.js, JavaScript",
,,Cloud service to facilitate health monitoring,First Year,"Azure, Serverless Architecture, AWS",
,,Mobile app to track health monitoring,First Year,"Swift, UX/UI Design, Firebase",
,,AI system to predict real estate listings,Third Year,"Data Science, Python, Machine Learning",
,,Mobile app to track fitness activity,Second Year,"Firebase, Swift, UX/UI Design",
,,Blockchain platform for community services,Fourth Year,"Ethereum, DApp Development, Smart Contracts",
,,Data visualization tool for personal productivity,Third Year,"Data Analysis, SQL, Python",
,,Blockchain platform for community services,First Year,"Smart Contracts, Ethereum, DApp Development",
,,Mobile app to track financial transactions,Second Year,"UX/UI Design, Swift, Firebase",
,,Security tool to detect social media trends,Third Year,"Ethical Hacking, Cybersecurity, Network Security",
,,Blockchain platform for community services,Third Year,"Ethereum, DApp Development, Solidity",
,,Web application for fitness activity management,First Year,"React, JavaScript, Node.js",
,,Mobile app to track personal productivity,Fourth Year,"Firebase, UX/UI Design, Swift",
,,Mobile app to track social media trends,Third Year,"Kotlin, UX/UI Design, Firebase",
,,Mobile app to track environmental data,Second Year,"Swift, Firebase, Kotlin",
,,Data visualization tool for educational content,Fourth Year,"Python, Data Analysis, SQL",
,,Security tool to detect financial transactions,Fourth Year,"Ethical Hacking, Network Security, Python",
,,Cloud service to facilitate educational content,Third Year,"Serverless Architecture, AWS, Azure",
,,IoT solution for health monitoring,First Year,"Sensor Networks, IoT, Raspberry Pi",
,,Web application for environmental data management,Second Year,"JavaScript, React, Node.js",
,,AI system to predict health monitoring,Third Year,"Data Science, Machine Learning, Python",
,,Blockchain platform for social media trends,Fourth Year,"Solidity, DApp Development, Ethereum",
,,Web application for environmental data management,Second Year,"Node.js, JavaScript, React",
,,Blockchain platform for personal productivity,Fourth Year,"DApp Development, Ethereum, Solidity",
,,Data visualization tool for community services,Second Year,"Python, D3.js, Data Analysis",
,,AI system to predict educational content,Second Year,"Data Science, Machine Learning, Python",
,,Data visualization tool for community services,Fourth Year,"SQL, D3.js, Python",
,,Cloud service to facilitate financial transactions,Third Year,"Serverless Architecture, AWS, Azure",
,,Web application for event management,Fourth Year,"MongoDB, React, Node.js",
,,IoT solution for health monitoring,Second Year,"Raspberry Pi, IoT, Sensor Networks",
,,Blockchain platform for financial transactions,Third Year,"Ethereum, Solidity, DApp Development",
,,Security tool to detect environmental data,Third Year,"Ethical Hacking, Cybersecurity, Network Security",
,,Data visualization tool for community services,Third Year,"SQL, D3.js, Data Analysis",
,,AI system to predict real estate listings,First Year,"Python, Data Science, TensorFlow",
,,Data visualization tool for real estate listings,Third Year,"Python, D3.js, SQL",
,,IoT solution for educational content,Fourth Year,"Arduino, IoT, Raspberry Pi",
,,Blockchain platform for event,Second Year,"Solidity, Ethereum, Smart Contracts",
,,IoT solution for fitness activity,Third Year,"IoT, Raspberry Pi, Sensor Networks",
,,Cloud service to facilitate fitness activity,Third Year,"AWS, Azure, Cloud Computing",
,,Data visualization tool for personal productivity,Fourth Year,"SQL, Data Analysis, Python",
,,IoT solution for health monitoring,Second Year,"Raspberry Pi, Arduino, Sensor Networks",
,,IoT solution for personal productivity,Second Year,"Sensor Networks, Arduino, Raspberry Pi",
,,Cloud service to facilitate social media trends,Second Year,"Azure, Serverless Architecture, AWS",
,,IoT solution for financial transactions,First Year,"IoT, Sensor Networks, Raspberry Pi",
,,Blockchain platform for personal productivity,Fourth Year,"Smart Contracts, Solidity, Ethereum",
,,Blockchain platform for real estate listings,Fourth Year,"DApp Development, Solidity, Smart Contracts",
,,Mobile app to track community services,First Year,"Swift, Firebase, Kotlin",
,,Security tool to detect community services,First Year,"Cybersecurity, Network Security, Ethical Hacking",
,,Cloud service to facilitate fitness activity,Third Year,"Cloud Computing, AWS, Serverless Architecture",
,,Web application for real estate listings management,First Year,"React, MongoDB, Node.js",
,,Security tool to detect personal productivity,Second Year,"Python, Network Security, Ethical Hacking",
,,Web application for health monitoring management,Second Year,"JavaScript, Node.js, MongoDB",
,,Cloud service to facilitate environmental data,Second Year,"Serverless Architecture, AWS, Azure",
,,Cloud service to facilitate event,Fourth Year,"Azure, Serverless Architecture, AWS",
,,AI system to predict health monitoring,Third Year,"TensorFlow, Data Science, Python",
,,Data visualization tool for event,Third Year,"SQL, Python, D3.js",
,,AI system to predict environmental data,Second Year,"TensorFlow, Machine Learning, Data Science",
,,Mobile app to track financial transactions,Fourth Year,"Swift, Firebase, Kotlin",
,,Mobile app to track environmental data,Third Year,"Swift, Firebase, UX/UI Design",
,,Cloud service to facilitate community services,Third Year,"Serverless Architecture, Azure, Cloud Computing",
,,IoT solution for educational content,Second Year,"IoT, Arduino, Sensor Networks",
,,AI system to predict educational content,Third Year,"Machine Learning, Data Science, Python",
,,Security tool to detect environmental data,Fourth Year,"Python, Cybersecurity, Network Security",
,,IoT solution for event,First Year,"Arduino, IoT, Raspberry Pi",
,,Blockchain platform for community services,Third Year,"DApp Development, Smart Contracts, Solidity",
,,AI system to predict community services,Fourth Year,"Machine Learning, Python, Data Science",
,,AI system to predict financial transactions,First Year,"Machine Learning, Data Science, Python",
,,IoT solution for event,Third Year,"Raspberry Pi, Sensor Networks, Arduino",
,,IoT solution for personal productivity,Second Year,"IoT, Raspberry Pi, Sensor Networks",
,,Blockchain platform for environmental data,Third Year,"DApp Development, Solidity, Ethereum",
,,Web application for community services management,Second Year,"MongoDB, Node.js, JavaScript",
,,Security tool to detect fitness activity,Second Year,"Network Security, Cybersecurity, Ethical Hacking",
,,IoT solution for social media trends,Fourth Year,"Sensor Networks, Raspberry Pi, Arduino",
,,IoT solution for educational content,First Year,"Raspberry Pi, IoT, Arduino",
,,AI system to predict fitness activity,First Year,"Data Science, Machine Learning, Python",
,,AI system to predict real estate listings,First Year,"TensorFlow, Data Science, Python",
,,Data visualization tool for event,Fourth Year,"D3.js, Data Analysis, Python",
,,AI system to predict environmental data,Fourth Year,"Machine Learning, TensorFlow, Python",
,,Web application for health monitoring management,First Year,"MongoDB, JavaScript, Node.js",
,,Data visualization tool for social media trends,Fourth Year,"D3.js, Data Analysis, Python",
,,Cloud service to facilitate fitness activity,Second Year,"Cloud Computing, Serverless Architecture, AWS",
,,IoT solution for social media trends,Second Year,"IoT, Raspberry Pi, Arduino",
,,Mobile app to track event,Fourth Year,"UX/UI Design, Firebase, Swift",
,,Web application for health monitoring management,First Year,"Node.js, MongoDB, React",
,,Mobile app to track environmental data,First Year,"Kotlin, UX/UI Design, Swift",
,,Web application for social media trends management,Third Year,"MongoDB, JavaScript, React",
,,Cloud service to facilitate community services,First Year,"Serverless Architecture, Azure, Cloud Computing",
,,Cloud service to facilitate personal productivity,Third Year,"Cloud Computing, Azure, Serverless Architecture",
,,Mobile app to track event,Third Year,"Kotlin, Swift, Firebase",
,,Security tool to detect community services,Third Year,"Ethical Hacking, Cybersecurity, Network Security",
,,Blockchain platform for fitness activity,Third Year,"Ethereum, Smart Contracts, DApp Development",
,,Cloud service to facilitate educational content,Third Year,"AWS, Serverless Architecture, Cloud Computing",
,,Cloud service to facilitate personal productivity,Fourth Year,"Cloud Computing, Azure, Serverless Architecture",
,,Security tool to detect environmental data,Second Year,"Network Security, Cybersecurity, Ethical Hacking",
,,Mobile app to track health monitoring,First Year,"UX/UI Design, Firebase, Swift",
,,Web application for community services management,Second Year,"React, JavaScript, MongoDB",
,,Data visualization tool for financial transactions,Third Year,"SQL, D3.js, Python",
,,IoT solution for event,Second Year,"Arduino, IoT, Raspberry Pi",
,,Mobile app to track fitness activity,First Year,"UX/UI Design, Kotlin, Swift",
,,Cloud service to facilitate personal productivity,Third Year,"AWS, Serverless Architecture, Azure",
,,Mobile app to track event,First Year,"UX/UI Design, Kotlin, Swift",
,,Security tool to detect real estate listings,Fourth Year,"Network Security, Python, Cybersecurity",
,,Security tool to detect financial transactions,First Year,"Python, Ethical Hacking, Network Security",
,,Web application for fitness activity management,Second Year,"Node.js, React, JavaScript",
,,Security tool to detect personal productivity,First Year,"Ethical Hacking, Python, Cybersecurity",
,,Mobile app to track financial transactions,First Year,"UX/UI Design, Kotlin, Firebase",
,,Mobile app to track social media trends,First Year,"Firebase, UX/UI Design, Swift",
,,Mobile app to track community services,Second Year,"Swift, Firebase, Kotlin",
,,Web application for personal productivity management,Third Year,"MongoDB, Node.js, JavaScript",
,,AI system to predict fitness activity,Fourth Year,"Python, Machine Learning, Data Science",
,,Web application for real estate listings management,Fourth Year,"JavaScript, React, MongoDB",
,,Mobile app to track personal productivity,Fourth Year,"Kotlin, Firebase, UX/UI Design",
,,Web application for fitness activity management,Second Year,"React, Node.js, JavaScript",
,,Web application for community services management,First Year,"MongoDB, React, JavaScript",
,,AI system to predict event,Third Year,"Python, Machine Learning, TensorFlow",
